관리번호,털색,품종,성별,몸무게,연령,건강상태,포획장소,포획일시
446494202100297 ,검정과 흰색,한국산고양이,수컷,3.6kg,1살,양호,정개1길,2021-06-03
446494202100298 ,고등어,한국산고양이,수컷,4.5kg,1살,양호,퀸스빌 아파트,2021-06-04
446494202100299 ,삼색,한국산고양이,암컷,3kg,1살,양호,돼지식당,2021-06-07
446494202100300 ,고등어,한국산고양이,암컷,3kg,1살이하,양호,곤충박물관,2021-06-07
446494202100301 ,흰색과 검정,한국산고양이,수컷,4.5kg,1살이상,양호,족자동길2-1,2021-06-08
446494202100302 ,검정과 갈색,샴,암컷,3.2kg,1살,양호,족자동길2-1,2021-06-08
446494202100303 ,검정과 흰색,한국산고양이,수컷,3.8kg,1살,양호,유성가든,2021-06-08
446494202100304 ,노랑색,한국산고양이,암컷,3kg,1살이하,양호,채지화암길27,2021-06-09
446494202100305 ,고등어,한국산고양이,암컷,3kg,1살이하,양호,새천년분식,2021-06-11
446494202100306 ,흰색과 노랑색,한국산고양이,수컷,4.3kg,1살,양호,동아보건대학교,2021-06-11
446494202100307 ,검정과 흰색,한국산고양이,수컷,3.8kg,1살,양호,동아보건대학교,2021-06-11
446494202100308 ,삼색,한국산고양이,암컷,3.5kg,1살,양호,동아보건대학교,2021-06-14
446494202100309 ,흰고등어,한국산고양이,수컷,2.8kg,1살이하,양호,금호타운,2021-06-15
446494202100310 ,고등어,한국산고양이,암컷,3.6kg,1살,양호,금호타운,2021-06-15
446494202100311 ,고등어,한국산고양이,암컷,2kg,1살이하,양호,금호타운,2021-06-15
446494202100312 ,삼색,한국산고양이,암컷,4.2kg,1살,양호,대불초등학교,2021-06-16
446494202100313 ,삼색,한국산고양이,암컷,4kg,1살,양호,대불초등학교,2021-06-16
446494202100314 ,흰색과 검정,한국산고양이,수컷,4.5kg,1살,양호,골든빌,2021-06-17
446494202100315 ,치즈,한국산고양이,암컷,3kg,1살,양호,송계길25-17,2021-06-17
446494202100316 ,흰색,한국산고양이,암컷,2kg,1살이하,양호,송계길25-17,2021-06-17
446494202100323 ,흰색,페르시안,수컷,3.7kg,1살,양호,송계길25-17,2021-06-24
446494202100324 ,흰색과 검정,한국산고양이,암컷,2.4kg,1살,양호,상대포로101,2021-06-24
446494202100325 ,삼색,한국산고양이,암컷,2.9kg,1살,양호,영나로841,2021-06-26
446494202100326 ,흰고등어,한국산고양이,수컷,3.7kg,1살,양호,영나로841,2021-06-25
446494202100327 ,흰색과 검정,한국산고양이,수컷,3.7kg,1살,양호,남춘동길53,2021-06-26
446494202100328 ,흰고등어,한국산고양이,수컷,4kg,1살,양호,남춘동길53,2021-06-26
446494202100341 ,흰색과 검정,한국산고양이,수컷,4kg,1살,양호,그린타운,2021-06-29
446494202100342 ,삼색,한국산고양이,수컷,3kg,1살,양호,남춘동길53,2021-06-28
446494202100349 ,흰색 노랑,한국산고양이,암컷,3.4kg,1살,양호,신항로 135-30,2021-07-12
446494202100350 ,삼색,한국산고양이,암컷,3.7kg,1살,양호,남취정길 52,2021-07-13
446494202100351 ,검정,한국산고양이,수컷,4.8kg,1살,양호,남취정길 52,2021-07-14
446494202100353 ,흰고등어,한국산고양이,수컷,3.3kg,1살이상,양호,그린파크,2021-07-19
446494202100354 ,삼색,한국산고양이,암컷,3.5kg,1살이상,양호,송석정길45,2021-07-21
446494202100355 ,흰고등어,한국산고양이,수컷,2.9kg,1살이상,양호,삼포로36,2021-07-24
446494202100356 ,흰고등어,한국산고양이,암컷,2.9kg,1살이상,양호,삼포로36,2021-07-24
446494202100357 ,흰고등어,한국산고양이,수컷,3.2kg,1살,양호,삼포로36,2021-07-24
446494202100376 ,삼색,한국산고양이,암컷,3.1kg,1살이상,양호,대불폐차장,2021-07-27
446494202100377 ,흰색과 검정색,한국산고양이,암컷,3kg,1살이하,양호,영덕길31,2021-08-05
446494202100378 ,검정과 흰색,한국산고양이,암컷,3.3kg,1살이상,양호,은곡길48,2021-08-12
446494202100379 ,흰고등어,한국산고양이,암컷,3.6kg,1살이상,양호,은곡길48,2021-08-12
446494202100382 ,흰고등어,한국산고양이,암컷,3.9kg,1년이상,양호,낭산로2길,2021-08-19
446494202100398 ,삼색,한국산고양이,암컷,3.7kg,1살이상,양호,비래길27-6,2021-08-23
446494202100399 ,흰색과 검정색,한국산고양이,수컷,3.5kg,1년이상,양호,녹색로919-36,2021-08-23
446494202100400 ,삼색,한국산고양이,암컷,1.5kg,1살이하,양호,비래길27-6,2021-08-23
446494202100401 ,검정,한국산고양이,수컷,1.7kg,1살이하,양호,은광학교,2021-08-24
446494202100402 ,흰색과 검정색,한국산고양이,암컷,3kg,1살이상,양호,녹색로919-36,2021-08-24
446494202100403 ,흰색 노랑,한국산고양이,암컷,3.8kg,1살이상,양호,광명원,2021-08-25
446494202100404 ,노랑색,한국산고양이,수컷,6kg,1살이상,양호,신촌길2,2021-08-26
